index,antecedents,consequents,support,confidence,lift
9010,"frozenset({'Features_Offline learning ( Without any of video conferencing , recorded lectures, and online exams )', 'Features_Primary or Middle School (till 5th grade)', 'Features_Yes ,it had a considerable impact', 'Features_Not having proper environment'})",frozenset({'Features_Communication gap with peers'}),0.058823529411764705,1.0,1.7435897435897436
10506,"frozenset({'Features_Offline learning ( Without any of video conferencing , recorded lectures, and online exams )', 'Features_No ,we adjusted easily', 'Features_Not having proper environment', 'Features_High School (till 12 th grade)', 'Features_Communication gap with peers'})",frozenset({'Features_Lack of Attention'}),0.058823529411764705,1.0,1.7894736842105263
9283,"frozenset({'Features_Primary or Middle School (till 5th grade)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_No ,we adjusted easily'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Not having proper environment'})",0.058823529411764705,1.0,3.238095238095238
11278,"frozenset({'Features_Offline learning ( Without any of video conferencing , recorded lectures, and online exams )', 'Features_Yes ,it had a considerable impact', 'Features_Hybrid classes should be conducted only during emergencies', 'Features_Lack of Attention', 'Features_Primary or Middle School (till 5th grade)', 'Features_Communication gap with peers'})",frozenset({'Features_Not having proper environment'}),0.04411764705882353,1.0,1.5813953488372094
9286,"frozenset({'Features_Primary or Middle School (till 5th grade)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Not having proper environment'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_No ,we adjusted easily'})",0.058823529411764705,1.0,2.5185185185185186
10919,"frozenset({'Features_Offline learning ( Without any of video conferencing , recorded lectures, and online exams )', 'Features_Yes ,it had a considerable impact', 'Features_Lack of Attention', 'Features_Primary or Middle School (till 5th grade)', 'Features_Hybrid classes should be conducted only during emergencies'})",frozenset({'Features_Communication gap with peers'}),0.04411764705882353,1.0,1.7435897435897436
5258,"frozenset({'Features_Lack of Attention', 'Features_Primary or Middle School (till 5th grade)', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",frozenset({'Features_Not having proper environment'}),0.058823529411764705,1.0,1.5813953488372094
1747,"frozenset({'Features_Lack of Attention', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_3'})",frozenset({'Features_Communication gap with peers'}),0.04411764705882353,1.0,1.7435897435897436
9289,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Primary or Middle School (till 5th grade)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy'})","frozenset({'Features_Not having proper environment', 'Features_No ,we adjusted easily'})",0.058823529411764705,1.0,1.942857142857143
9297,"frozenset({'Features_Primary or Middle School (till 5th grade)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy'})","frozenset({'Features_Not having proper environment', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_No ,we adjusted easily'})",0.058823529411764705,1.0,3.4
9278,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Primary or Middle School (till 5th grade)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_No ,we adjusted easily'})",frozenset({'Features_Not having proper environment'}),0.058823529411764705,1.0,1.5813953488372094
6508,"frozenset({'Features_Lack of Attention', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Not having proper environment'})",0.058823529411764705,1.0,3.238095238095238
